Time,PE_NIFTY50
"1 Jan, 2003, 03:30 PM",14.92
"2 Jan, 2003, 03:30 PM",14.82
"3 Jan, 2003, 03:30 PM",14.78
"6 Jan, 2003, 03:30 PM",14.71
"7 Jan, 2003, 03:30 PM",14.67
"8 Jan, 2003, 03:30 PM",14.77
"9 Jan, 2003, 03:30 PM",14.88
"10 Jan, 2003, 03:30 PM",14.65
"13 Jan, 2003, 03:30 PM",14.56
"14 Jan, 2003, 03:30 PM",14.63
"15 Jan, 2003, 03:30 PM",14.72
"16 Jan, 2003, 03:30 PM",14.76
"17 Jan, 2003, 03:30 PM",14.74
"20 Jan, 2003, 03:30 PM",14.6
"21 Jan, 2003, 03:30 PM",14.62
"22 Jan, 2003, 03:30 PM",14.69
"23 Jan, 2003, 03:30 PM",14.52
"24 Jan, 2003, 03:30 PM",14.32
"27 Jan, 2003, 03:30 PM",14.07
"28 Jan, 2003, 03:30 PM",14.19
"29 Jan, 2003, 03:30 PM",14.07
"30 Jan, 2003, 03:30 PM",14.03
"31 Jan, 2003, 03:30 PM",14.13
"3 Feb, 2003, 03:30 PM",14.31
"4 Feb, 2003, 03:30 PM",14.31
"5 Feb, 2003, 03:30 PM",14.21
"6 Feb, 2003, 03:30 PM",14.42
"7 Feb, 2003, 03:30 PM",14.34
"10 Feb, 2003, 03:30 PM",14.22
"11 Feb, 2003, 03:30 PM",14.21
"12 Feb, 2003, 03:30 PM",14.17
"14 Feb, 2003, 03:30 PM",14.05
"17 Feb, 2003, 03:30 PM",14.35
"18 Feb, 2003, 03:30 PM",14.37
"19 Feb, 2003, 03:30 PM",14.43
"20 Feb, 2003, 03:30 PM",14.45
"21 Feb, 2003, 03:30 PM",14.46
"24 Feb, 2003, 03:30 PM",14.51
"25 Feb, 2003, 03:30 PM",14.32
"26 Feb, 2003, 03:30 PM",14.24
"27 Feb, 2003, 03:30 PM",14.28
"28 Feb, 2003, 03:30 PM",14.42
"3 Mar, 2003, 03:30 PM",14.36
"4 Mar, 2003, 03:30 PM",14.24
"5 Mar, 2003, 03:30 PM",14.16
"6 Mar, 2003, 03:30 PM",14.03
"7 Mar, 2003, 03:30 PM",13.84
"10 Mar, 2003, 03:30 PM",13.7
"11 Mar, 2003, 03:30 PM",13.81
"12 Mar, 2003, 03:30 PM",13.63
"13 Mar, 2003, 03:30 PM",13.6
"17 Mar, 2003, 03:30 PM",13.51
"19 Mar, 2003, 03:30 PM",13.71
"20 Mar, 2003, 03:30 PM",14
"21 Mar, 2003, 03:30 PM",14.08
"22 Mar, 2003, 03:30 PM",14.17
"24 Mar, 2003, 03:30 PM",13.85
"25 Mar, 2003, 03:30 PM",13.81
"26 Mar, 2003, 03:30 PM",13.85
"27 Mar, 2003, 03:30 PM",13.69
"28 Mar, 2003, 03:30 PM",13.67
"31 Mar, 2003, 03:30 PM",13.36
"1 Apr, 2003, 03:30 PM",13.44
"2 Apr, 2003, 03:30 PM",13.65
"3 Apr, 2003, 03:30 PM",13.78
"4 Apr, 2003, 03:30 PM",13.89
"7 Apr, 2003, 03:30 PM",14.09
"8 Apr, 2003, 03:30 PM",13.91
"9 Apr, 2003, 03:30 PM",13.73
"10 Apr, 2003, 03:30 PM",13.14
"11 Apr, 2003, 03:30 PM",12.97
"15 Apr, 2003, 03:30 PM",12.99
"16 Apr, 2003, 03:30 PM",13.09
"17 Apr, 2003, 03:30 PM",12.85
"21 Apr, 2003, 03:30 PM",12.94
"22 Apr, 2003, 03:30 PM",12.89
"23 Apr, 2003, 03:30 PM",12.76
"24 Apr, 2003, 03:30 PM",12.7
